run_id,config_id,protein,split,method,seed,backend,n_energy_evaluations,elapsed_s,method_step,objective_eval,restart,best_energy,best_bitstring,cvar,ca_rmsd_angstrom,ca_rmsd_ensemble_min
8f87f0ae70d47ea5,d76ddbd1de8c,1UAO,development,vqe,0,direct,32,2.46488094329834,,9,0,-354.720966791315,0111010111110101111001,-353.843705563013,5.018579966386925,4.312926048424244
8f87f0ae70d47ea5,d76ddbd1de8c,1UAO,development,vqe,0,direct,66,3.3583199977874756,,19,0,-356.13174316802036,0110101111110010000001,-344.8616118516845,4.254064582320264,3.7110540352516304
8f87f0ae70d47ea5,d76ddbd1de8c,1UAO,development,vqe,0,direct,97,4.147829055786133,,28,0,-356.13174316802036,0110101111110010000001,-352.77585027915006,4.254064582320264,3.7110540352516304
8f87f0ae70d47ea5,d76ddbd1de8c,1UAO,development,vqe,0,direct,130,4.954142093658447,,37,0,-356.13174316802036,0110101111110010000001,-338.17776199899293,4.254064582320264,3.7110540352516304
8f87f0ae70d47ea5,d76ddbd1de8c,1UAO,development,vqe,0,direct,160,5.7537620067596436,,46,0,-358.4537562032493,0110101111010101111001,-343.44476559462055,4.04850106783679,2.9138373723475324
8f87f0ae70d47ea5,d76ddbd1de8c,1UAO,development,vqe,0,direct,195,6.734231948852539,,57,0,-358.4537562032493,0110101111010101111001,-322.46591203782265,4.04850106783679,2.9138373723475324
8f87f0ae70d47ea5,d76ddbd1de8c,1UAO,development,vqe,0,direct,224,7.538753986358643,,66,0,-358.4537562032493,0110101111010101111001,-343.44477187391277,4.04850106783679,2.9138373723475324
8f87f0ae70d47ea5,d76ddbd1de8c,1UAO,development,vqe,0,direct,257,8.350412845611572,,75,0,-358.4537562032493,0110101111010101111001,-350.3419196255858,4.04850106783679,2.9138373723475324
8f87f0ae70d47ea5,d76ddbd1de8c,1UAO,development,vqe,0,direct,288,9.22314715385437,,85,0,-358.4537562032493,0110101111010101111001,-347.7381830482304,4.04850106783679,2.9138373723475324
8f87f0ae70d47ea5,d76ddbd1de8c,1UAO,development,vqe,0,direct,320,10.082449913024902,,95,0,-358.4537562032493,0110101111010101111001,-346.17393907852374,4.04850106783679,2.9138373723475324
8f87f0ae70d47ea5,d76ddbd1de8c,1UAO,development,vqe,0,direct,353,11.03891110420227,,106,0,-358.4537562032493,0110101111010101111001,-342.8931929514443,4.04850106783679,2.9138373723475324
8f87f0ae70d47ea5,d76ddbd1de8c,1UAO,development,vqe,0,direct,385,11.917525053024292,,116,0,-358.4537562032493,0110101111010101111001,-346.17613627141156,4.04850106783679,2.9138373723475324
8f87f0ae70d47ea5,d76ddbd1de8c,1UAO,development,vqe,0,direct,418,12.87758493423462,,127,0,-358.4537562032493,0110101111010101111001,-344.0199421095723,4.04850106783679,2.9138373723475324
8f87f0ae70d47ea5,d76ddbd1de8c,1UAO,development,vqe,0,direct,449,13.998400211334229,,140,0,-358.4537562032493,0110101111010101111001,-345.25730821658107,4.04850106783679,2.9138373723475324
8f87f0ae70d47ea5,d76ddbd1de8c,1UAO,development,vqe,0,direct,480,15.104700088500977,,155,0,-358.4537562032493,0110101111010101111001,-344.2652342642422,4.04850106783679,2.9138373723475324
8f87f0ae70d47ea5,d76ddbd1de8c,1UAO,development,vqe,0,direct,487,15.356608152389526,,159,0,-358.4537562032493,0110101111010101111001,-348.6747650694402,4.04850106783679,2.9138373723475324
a06be98610c7689b,d76ddbd1de8c,1UAO,development,vqe,1,direct,34,2.8105649948120117,,10,0,-356.75514316000516,0100101011110001111000,-356.75514316000516,5.3445158317970485,4.791693069359422
a06be98610c7689b,d76ddbd1de8c,1UAO,development,vqe,1,direct,64,3.530402898788452,,18,0,-357.98729998200207,0110100100111101111000,-347.8359876770973,3.950959549904472,3.2437467084547813
a06be98610c7689b,d76ddbd1de8c,1UAO,development,vqe,1,direct,97,4.410559892654419,,28,0,-357.98729998200207,0110100100111101111000,-355.9029087690186,3.950959549904472,3.2437467084547813
a06be98610c7689b,d76ddbd1de8c,1UAO,development,vqe,1,direct,130,5.381710052490234,,39,0,-361.7942699893965,0100100111111101110100,-358.14199649508026,4.888105567903868,4.270655543473082
a06be98610c7689b,d76ddbd1de8c,1UAO,development,vqe,1,direct,160,6.260303020477295,,49,0,-361.7942699893965,0100100111111101110100,-352.1338801898368,4.888105567903868,4.270655543473082
a06be98610c7689b,d76ddbd1de8c,1UAO,development,vqe,1,direct,192,7.129915714263916,,59,0,-361.7942699893965,0100100111111101110100,-353.38765317202166,4.888105567903868,4.270655543473082
a06be98610c7689b,d76ddbd1de8c,1UAO,development,vqe,1,direct,227,8.17084002494812,,71,0,-361.7942699893965,0100100111111101110100,-355.67761726169925,4.888105567903868,4.270655543473082
a06be98610c7689b,d76ddbd1de8c,1UAO,development,vqe,1,direct,256,9.031998872756958,,81,0,-361.7942699893965,0100100111111101110100,-354.137489038978,4.888105567903868,4.270655543473082
a06be98610c7689b,d76ddbd1de8c,1UAO,development,vqe,1,direct,288,10.068143129348755,,93,0,-361.7942699893965,0100100111111101110100,-354.08684341415193,4.888105567903868,4.270655543473082
a06be98610c7689b,d76ddbd1de8c,1UAO,development,vqe,1,direct,321,11.110812902450562,,105,0,-361.7942699893965,0100100111111101110100,-354.9712320173994,4.888105567903868,4.270655543473082
a06be98610c7689b,d76ddbd1de8c,1UAO,development,vqe,1,direct,352,12.155128955841064,,117,0,-361.7942699893965,0100100111111101110100,-353.85097264538047,4.888105567903868,4.270655543473082
a06be98610c7689b,d76ddbd1de8c,1UAO,development,vqe,1,direct,385,13.182756662368774,,129,0,-361.7942699893965,0100100111111101110100,-345.7134806279587,4.888105567903868,4.270655543473082
